X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000015
6.350000,0.000000,0.000000,0.000000,0.000001
6.350000,12.700000,-0.007232,-0.021228,0.000030
0.000000,12.700000,-0.009889,-0.023207,0.000023
6.350000,0.000000,-0.000000,-0.000000,0.000001
12.700000,0.000000,-0.000000,-0.000000,0.000000
12.700000,12.700000,-0.004870,-0.019929,0.000018
6.350000,12.700000,-0.007232,-0.021228,0.000030
0.000000,12.700000,-0.009889,-0.023207,0.000023
6.350000,12.700000,-0.007232,-0.021228,0.000030
6.350000,25.400000,-0.010407,-0.042436,0.000035
0.000000,25.400000,-0.013203,-0.043819,0.000032
6.350000,12.700000,-0.007232,-0.021228,0.000030
12.700000,12.700000,-0.004870,-0.019929,0.000018
12.700000,25.400000,-0.007646,-0.040940,0.000032
6.350000,25.400000,-0.010407,-0.042436,0.000035
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.003022,-0.019123,0.000010
12.700000,12.700000,-0.004870,-0.019929,0.000018
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.001548,-0.018575,0.000007
19.050000,12.700000,-0.003022,-0.019123,0.000010
12.700000,12.700000,-0.004870,-0.019929,0.000018
19.050000,12.700000,-0.003022,-0.019123,0.000010
19.050000,25.400000,-0.005018,-0.039569,0.000028
12.700000,25.400000,-0.007646,-0.040940,0.000032
19.050000,12.700000,-0.003022,-0.019123,0.000010
25.400000,12.700000,-0.001548,-0.018575,0.000007
25.400000,25.400000,-0.002562,-0.038406,0.000023
19.050000,25.400000,-0.005018,-0.039569,0.000028
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000329,-0.018234,0.000005
25.400000,12.700000,-0.001548,-0.018575,0.000007
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000738,-0.018140,0.000004
31.750000,12.700000,-0.000329,-0.018234,0.000005
25.400000,12.700000,-0.001548,-0.018575,0.000007
31.750000,12.700000,-0.000329,-0.018234,0.000005
31.750000,25.400000,-0.000284,-0.037528,0.000020
25.400000,25.400000,-0.002562,-0.038406,0.000023
31.750000,12.700000,-0.000329,-0.018234,0.000005
38.100000,12.700000,0.000738,-0.018140,0.000004
38.100000,25.400000,0.001814,-0.037123,0.000017
31.750000,25.400000,-0.000284,-0.037528,0.000020
38.100000,0.000000,0.000000,0.000000,0.000000
44.450000,0.000000,0.000000,0.000000,0.000001
44.450000,12.700000,0.001780,-0.018358,0.000004
38.100000,12.700000,0.000738,-0.018140,0.000004
44.450000,0.000000,0.000000,-0.000000,0.000001
50.800000,0.000000,0.000000,0.000000,0.000000
50.800000,12.700000,0.002948,-0.018925,0.000006
44.450000,12.700000,0.001780,-0.018358,0.000004
50.800000,0.000000,0.000000,0.000000,0.000000
57.150000,-0.000000,0.000000,0.000000,0.000000
57.150000,12.700000,0.004402,-0.019831,0.000011
50.800000,12.700000,0.002948,-0.018925,0.000006
57.150000,-0.000000,0.000000,-0.000000,0.000000
63.500000,0.000000,0.000000,0.000000,0.000000
63.500000,12.700000,0.006308,-0.021125,0.000020
57.150000,12.700000,0.004402,-0.019831,0.000011
50.800000,12.700000,0.002948,-0.018925,0.000006
57.150000,12.700000,0.004402,-0.019831,0.000011
57.150000,25.400000,0.008587,-0.040929,0.000032
50.800000,25.400000,0.006031,-0.038889,0.000022
57.150000,12.700000,0.004402,-0.019831,0.000011
63.500000,12.700000,0.006308,-0.021125,0.000020
63.500000,25.400000,0.011454,-0.043288,0.000039
57.150000,25.400000,0.008587,-0.040929,0.000032
63.500000,0.000000,0.000000,0.000000,0.000000
69.850000,0.000000,0.000000,0.000000,0.000001
69.850000,12.700000,0.008830,-0.023069,0.000037
63.500000,12.700000,0.006308,-0.021125,0.000020
69.850000,0.000000,0.000000,-0.000000,0.000001
76.200000,0.000000,0.000000,0.000000,-0.000023
76.200000,12.700000,0.011739,-0.025906,0.000029
69.850000,12.700000,0.008830,-0.023069,0.000037
63.500000,12.700000,0.006308,-0.021125,0.000020
69.850000,12.700000,0.008830,-0.023069,0.000037
69.850000,25.400000,0.014461,-0.045880,0.000042
63.500000,25.400000,0.011454,-0.043288,0.000039
69.850000,12.700000,0.008830,-0.023069,0.000037
76.200000,12.700000,0.011739,-0.025906,0.000029
76.200000,25.400000,0.017489,-0.048601,0.000038
69.850000,25.400000,0.014461,-0.045880,0.000042
0.000000,25.400000,-0.013203,-0.043819,0.000032
6.350000,25.400000,-0.010407,-0.042436,0.000035
6.350000,38.100000,-0.012672,-0.063832,0.000038
0.000000,38.100000,-0.015573,-0.065300,0.000037
6.350000,25.400000,-0.010407,-0.042436,0.000035
12.700000,25.400000,-0.007646,-0.040940,0.000032
12.700000,38.100000,-0.009749,-0.062206,0.000039
6.350000,38.100000,-0.012672,-0.063832,0.000038
0.000000,38.100000,-0.015573,-0.065300,0.000037
6.350000,38.100000,-0.012672,-0.063832,0.000038
6.350000,50.800000,-0.015891,-0.085498,0.000038
0.000000,50.800000,-0.018813,-0.087411,0.000039
6.350000,38.100000,-0.012672,-0.063832,0.000038
12.700000,38.100000,-0.009749,-0.062206,0.000039
12.700000,50.800000,-0.012966,-0.083629,0.000039
6.350000,50.800000,-0.015891,-0.085498,0.000038
12.700000,25.400000,-0.007646,-0.040940,0.000032
19.050000,25.400000,-0.005018,-0.039569,0.000028
19.050000,38.100000,-0.006770,-0.060560,0.000041
12.700000,38.100000,-0.009749,-0.062206,0.000039
19.050000,25.400000,-0.005018,-0.039569,0.000028
25.400000,25.400000,-0.002562,-0.038406,0.000023
25.400000,38.100000,-0.003729,-0.058969,0.000043
19.050000,38.100000,-0.006770,-0.060560,0.000041
12.700000,38.100000,-0.009749,-0.062206,0.000039
19.050000,38.100000,-0.006770,-0.060560,0.000041
19.050000,50.800000,-0.009980,-0.081789,0.000042
12.700000,50.800000,-0.012966,-0.083629,0.000039
19.050000,38.100000,-0.006770,-0.060560,0.000041
25.400000,38.100000,-0.003729,-0.058969,0.000043
25.400000,50.800000,-0.006871,-0.079930,0.000048
19.050000,50.800000,-0.009980,-0.081789,0.000042
25.400000,25.400000,-0.002562,-0.038406,0.000023
31.750000,25.400000,-0.000284,-0.037528,0.000020
31.750000,38.100000,-0.000628,-0.057508,0.000046
25.400000,38.100000,-0.003729,-0.058969,0.000043
31.750000,25.400000,-0.000284,-0.037528,0.000020
38.100000,25.400000,0.001814,-0.037123,0.000017
38.100000,38.100000,0.002543,-0.056361,0.000050
