X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000015
6.350000,0.000000,0.000000,0.000000,-0.000000
6.350000,12.700000,-0.004163,-0.020917,0.000032
0.000000,12.700000,-0.006917,-0.022408,0.000028
6.350000,0.000000,-0.000000,-0.000000,0.000000
12.700000,0.000000,0.000000,0.000000,0.000000
12.700000,12.700000,-0.001718,-0.019310,0.000019
6.350000,12.700000,-0.004163,-0.020917,0.000032
0.000000,12.700000,-0.006917,-0.022408,0.000028
6.350000,12.700000,-0.004163,-0.020917,0.000032
6.350000,25.400000,-0.006263,-0.042972,0.000042
0.000000,25.400000,-0.009353,-0.045040,0.000044
6.350000,12.700000,-0.004163,-0.020917,0.000032
12.700000,12.700000,-0.001718,-0.019310,0.000019
12.700000,25.400000,-0.003331,-0.040182,0.000037
6.350000,25.400000,-0.006263,-0.042972,0.000042
12.700000,0.000000,0.000000,0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,0.000170,-0.017832,0.000011
12.700000,12.700000,-0.001718,-0.019310,0.000019
19.050000,0.000000,0.000000,-0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,0.001577,-0.016512,0.000006
19.050000,12.700000,0.000170,-0.017832,0.000011
12.700000,12.700000,-0.001718,-0.019310,0.000019
19.050000,12.700000,0.000170,-0.017832,0.000011
19.050000,25.400000,-0.000605,-0.037168,0.000032
12.700000,25.400000,-0.003331,-0.040182,0.000037
19.050000,12.700000,0.000170,-0.017832,0.000011
25.400000,12.700000,0.001577,-0.016512,0.000006
25.400000,25.400000,0.001912,-0.034265,0.000027
19.050000,25.400000,-0.000605,-0.037168,0.000032
25.400000,0.000000,0.000000,0.000000,0.000000
31.750000,-0.000000,0.000000,0.000000,0.000000
31.750000,12.700000,0.002584,-0.015518,0.000003
25.400000,12.700000,0.001577,-0.016512,0.000006
31.750000,-0.000000,0.000000,0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000001
38.100000,12.700000,0.003244,-0.015237,0.000000
31.750000,12.700000,0.002584,-0.015518,0.000003
25.400000,12.700000,0.001577,-0.016512,0.000006
31.750000,12.700000,0.002584,-0.015518,0.000003
31.750000,25.400000,0.004286,-0.031829,0.000026
25.400000,25.400000,0.001912,-0.034265,0.000027
31.750000,12.700000,0.002584,-0.015518,0.000003
38.100000,12.700000,0.003244,-0.015237,0.000000
38.100000,25.400000,0.006698,-0.030379,0.000039
31.750000,25.400000,0.004286,-0.031829,0.000026
38.100000,0.000000,0.000000,0.000000,0.000001
44.450000,0.000000,0.000000,0.000000,-0.000003
44.450000,12.700000,0.003857,-0.016325,0.000007
38.100000,12.700000,0.003244,-0.015237,0.000000
44.450000,0.000000,0.000000,0.000000,-0.000003
50.800000,0.000000,0.000000,0.000000,0.000001
50.800000,12.700000,0.004999,-0.018930,0.000008
44.450000,12.700000,0.003857,-0.016325,0.000007
