X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000013
6.350000,0.000000,0.000000,0.000000,0.000001
6.350000,12.700000,-0.006969,-0.020376,0.000027
0.000000,12.700000,-0.009514,-0.022253,0.000021
6.350000,0.000000,-0.000000,-0.000000,0.000001
12.700000,0.000000,-0.000000,-0.000000,0.000000
12.700000,12.700000,-0.004705,-0.019159,0.000016
6.350000,12.700000,-0.006969,-0.020376,0.000027
0.000000,12.700000,-0.009514,-0.022253,0.000021
6.350000,12.700000,-0.006969,-0.020376,0.000027
6.350000,25.400000,-0.009922,-0.040722,0.000031
0.000000,25.400000,-0.012601,-0.041977,0.000028
6.350000,12.700000,-0.006969,-0.020376,0.000027
12.700000,12.700000,-0.004705,-0.019159,0.000016
12.700000,25.400000,-0.007279,-0.039347,0.000029
6.350000,25.400000,-0.009922,-0.040722,0.000031
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.002937,-0.018419,0.000010
12.700000,12.700000,-0.004705,-0.019159,0.000016
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.001527,-0.017928,0.000006
19.050000,12.700000,-0.002937,-0.018419,0.000010
12.700000,12.700000,-0.004705,-0.019159,0.000016
19.050000,12.700000,-0.002937,-0.018419,0.000010
19.050000,25.400000,-0.004771,-0.038090,0.000025
12.700000,25.400000,-0.007279,-0.039347,0.000029
19.050000,12.700000,-0.002937,-0.018419,0.000010
25.400000,12.700000,-0.001527,-0.017928,0.000006
25.400000,25.400000,-0.002441,-0.037037,0.000021
19.050000,25.400000,-0.004771,-0.038090,0.000025
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000357,-0.017634,0.000004
25.400000,12.700000,-0.001527,-0.017928,0.000006
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000676,-0.017566,0.000004
31.750000,12.700000,-0.000357,-0.017634,0.000004
25.400000,12.700000,-0.001527,-0.017928,0.000006
31.750000,12.700000,-0.000357,-0.017634,0.000004
31.750000,25.400000,-0.000296,-0.036272,0.000017
