X,Y,U,V,Phi
0.0,0.0,0.0,0.0,-1.5e-05
6.35,0.0,0.0,0.0,-0.0
6.35,12.7,-0.004179,-0.021017,3.3e-05
0.0,12.7,-0.00695,-0.022547,2.9e-05
6.35,0.0,0.0,0.0,-0.0
12.7,0.0,0.0,0.0,0.0
12.7,12.7,-0.001719,-0.019366,1.9e-05
6.35,12.7,-0.004179,-0.021017,3.3e-05
0.0,12.7,-0.00695,-0.022547,2.9e-05
6.35,12.7,-0.004179,-0.021017,3.3e-05
6.35,25.4,-0.006407,-0.04318,4.3e-05
0.0,25.4,-0.009515,-0.045338,4.5e-05
6.35,12.7,-0.004179,-0.021017,3.3e-05
12.7,12.7,-0.001719,-0.019366,1.9e-05
12.7,25.4,-0.003465,-0.0403,3.7e-05
6.35,25.4,-0.006407,-0.04318,4.3e-05
12.7,0.0,0.0,0.0,0.0
19.05,0.0,0.0,0.0,0.0
19.05,12.7,0.000183,-0.017843,1.1e-05
12.7,12.7,-0.001719,-0.019366,1.9e-05
19.05,0.0,0.0,0.0,0.0
25.4,0.0,0.0,0.0,0.0
25.4,12.7,0.001606,-0.016473,6e-06
19.05,12.7,0.000183,-0.017843,1.1e-05
12.7,12.7,-0.001719,-0.019366,1.9e-05
19.05,12.7,0.000183,-0.017843,1.1e-05
19.05,25.4,-0.000735,-0.037195,3.2e-05
12.7,25.4,-0.003465,-0.0403,3.7e-05
19.05,12.7,0.000183,-0.017843,1.1e-05
25.4,12.7,0.001606,-0.016473,6e-06
25.4,25.4,0.001778,-0.034202,2.7e-05
19.05,25.4,-0.000735,-0.037195,3.2e-05
25.4,0.0,0.0,0.0,0.0
31.75,-0.0,0.0,0.0,0.0
31.75,12.7,0.002632,-0.01542,3e-06
25.4,12.7,0.001606,-0.016473,6e-06
31.75,-0.0,0.0,0.0,0.0
38.1,0.0,0.0,0.0,1e-06
38.1,12.7,0.00331,-0.015071,1e-06
31.75,12.7,0.002632,-0.01542,3e-06
25.4,12.7,0.001606,-0.016473,6e-06
31.75,12.7,0.002632,-0.01542,3e-06
31.75,25.4,0.004139,-0.031671,2.6e-05
25.4,25.4,0.001778,-0.034202,2.7e-05
31.75,12.7,0.002632,-0.01542,3e-06
38.1,12.7,0.00331,-0.015071,1e-06
38.1,25.4,0.006521,-0.030106,4.2e-05
31.75,25.4,0.004139,-0.031671,2.6e-05
38.1,0.0,0.0,0.0,1e-06
44.45,0.0,0.0,0.0,6e-06
44.45,12.7,0.003917,-0.016147,-1e-05
38.1,12.7,0.00331,-0.015071,1e-06
44.45,0.0,0.0,0.0,6e-06
50.8,0.0,0.0,0.0,1e-06
50.8,12.7,0.00506,-0.018845,9e-06
44.45,12.7,0.003917,-0.016147,-1e-05
50.8,0.0,0.0,0.0,1e-06
57.15,-0.0,0.0,0.0,1e-06
57.15,12.7,0.007055,-0.022245,2.3e-05
50.8,12.7,0.00506,-0.018845,9e-06
57.15,-0.0,0.0,0.0,1e-06
63.5,0.0,0.0,0.0,1e-06
63.5,12.7,0.009785,-0.025892,4.6e-05
57.15,12.7,0.007055,-0.022245,2.3e-05
50.8,12.7,0.00506,-0.018845,9e-06
57.15,12.7,0.007055,-0.022245,2.3e-05
57.15,25.4,0.020291,-0.047376,0.000102
50.8,25.4,0.016111,-0.040427,0.000143
57.15,12.7,0.007055,-0.022245,2.3e-05
63.5,12.7,0.009785,-0.025892,4.6e-05
63.5,25.4,0.024351,-0.053449,9.7e-05
57.15,25.4,0.020291,-0.047376,0.000102
63.5,0.0,0.0,0.0,1e-06
69.85,0.0,0.0,0.0,1e-06
69.85,12.7,0.01326,-0.03032,8.3e-05
63.5,12.7,0.009785,-0.025892,4.6e-05
69.85,0.0,0.0,0.0,1e-06
76.2,0.0,0.0,0.0,-0.000117
76.2,12.7,0.017261,-0.036172,6.4e-05
69.85,12.7,0.01326,-0.03032,8.3e-05
63.5,12.7,0.009785,-0.025892,4.6e-05
69.85,12.7,0.01326,-0.03032,8.3e-05
69.85,25.4,0.028314,-0.059806,8.7e-05
63.5,25.4,0.024351,-0.053449,9.7e-05
69.85,12.7,0.01326,-0.03032,8.3e-05
76.2,12.7,0.017261,-0.036172,6.4e-05
76.2,25.4,0.032225,-0.067316,7.5e-05
69.85,25.4,0.028314,-0.059806,8.7e-05
0.0,25.4,-0.009515,-0.045338,4.5e-05
6.35,25.4,-0.006407,-0.04318,4.3e-05
6.35,38.1,-0.0111,-0.066589,5e-05
0.0,38.1,-0.014455,-0.070541,5.9e-05
6.35,25.4,-0.006407,-0.04318,4.3e-05
12.7,25.4,-0.003465,-0.0403,3.7e-05
12.7,38.1,-0.007901,-0.062071,4.7e-05
6.35,38.1,-0.0111,-0.066589,5e-05
0.0,38.1,-0.014455,-0.070541,5.9e-05
6.35,38.1,-0.0111,-0.066589,5e-05
6.35,50.8,-0.020824,-0.091009,5.6e-05
0.0,50.8,-0.024286,-0.097292,6.4e-05
6.35,38.1,-0.0111,-0.066589,5e-05
12.7,38.1,-0.007901,-0.062071,4.7e-05
12.7,50.8,-0.017425,-0.084647,5.7e-05
6.35,50.8,-0.020824,-0.091009,5.6e-05
12.7,25.4,-0.003465,-0.0403,3.7e-05
19.05,25.4,-0.000735,-0.037195,3.2e-05
19.05,38.1,-0.004805,-0.057235,4.4e-05
12.7,38.1,-0.007901,-0.062071,4.7e-05
19.05,25.4,-0.000735,-0.037195,3.2e-05
25.4,25.4,0.001778,-0.034202,2.7e-05
25.4,38.1,-0.001877,-0.052307,3.7e-05
19.05,38.1,-0.004805,-0.057235,4.4e-05
12.7,38.1,-0.007901,-0.062071,4.7e-05
19.05,38.1,-0.004805,-0.057235,4.4e-05
19.05,50.8,-0.013999,-0.077911,5.8e-05
12.7,50.8,-0.017425,-0.084647,5.7e-05
19.05,38.1,-0.004805,-0.057235,4.4e-05
25.4,38.1,-0.001877,-0.052307,3.7e-05
25.4,50.8,-0.010675,-0.070594,5e-05
19.05,50.8,-0.013999,-0.077911,5.8e-05
25.4,25.4,0.001778,-0.034202,2.7e-05
31.75,25.4,0.004139,-0.031671,2.6e-05
31.75,38.1,0.000748,-0.047578,2.6e-05
25.4,38.1,-0.001877,-0.052307,3.7e-05
31.75,25.4,0.004139,-0.031671,2.6e-05
38.1,25.4,0.006521,-0.030106,4.2e-05
38.1,38.1,0.002896,-0.043405,2e-05
31.75,38.1,0.000748,-0.047578,2.6e-05
25.4,38.1,-0.001877,-0.052307,3.7e-05
31.75,38.1,0.000748,-0.047578,2.6e-05
31.75,50.8,-0.007756,-0.062731,3.3e-05
25.4,50.8,-0.010675,-0.070594,5e-05
31.75,38.1,0.000748,-0.047578,2.6e-05
38.1,38.1,0.002896,-0.043405,2e-05
38.1,50.8,-0.005595,-0.054835,1.7e-05
31.75,50.8,-0.007756,-0.062731,3.3e-05
57.15,25.4,0.020291,-0.047376,0.000102
63.5,25.4,0.024351,-0.053449,9.7e-05
63.5,38.1,0.042927,-0.080926,9.9e-05
57.15,38.1,0.038908,-0.0743,7.8e-05
57.15,38.1,0.038908,-0.0743,7.8e-05
63.5,38.1,0.042927,-0.080926,9.9e-05
63.5,50.8,0.060966,-0.109079,8.7e-05
57.15,50.8,0.056616,-0.10518,0.000252
63.5,25.4,0.024351,-0.053449,9.7e-05
69.85,25.4,0.028314,-0.059806,8.7e-05
69.85,38.1,0.046745,-0.087256,7.3e-05
63.5,38.1,0.042927,-0.080926,9.9e-05
69.85,25.4,0.028314,-0.059806,8.7e-05
76.2,25.4,0.032225,-0.067316,7.5e-05
76.2,38.1,0.050201,-0.0951,5.1e-05
69.85,38.1,0.046745,-0.087256,7.3e-05
63.5,38.1,0.042927,-0.080926,9.9e-05
69.85,38.1,0.046745,-0.087256,7.3e-05
69.85,50.8,0.064188,-0.112008,4.6e-05
63.5,50.8,0.060966,-0.109079,8.7e-05
69.85,38.1,0.046745,-0.087256,7.3e-05
76.2,38.1,0.050201,-0.0951,5.1e-05
76.2,50.8,0.066847,-0.116648,2.1e-05
69.85,50.8,0.064188,-0.112008,4.6e-05
0.0,50.8,-0.024286,-0.097292,6.4e-05
6.35,50.8,-0.020824,-0.091009,5.6e-05
6.35,63.5,-0.036236,-0.115602,5.6e-05
-0.0,63.5,-0.039569,-0.123662,5.4e-05
6.35,50.8,-0.020824,-0.091009,5.6e-05
12.7,50.8,-0.017425,-0.084647,5.7e-05
12.7,63.5,-0.03275,-0.108103,6.6e-05
6.35,63.5,-0.036236,-0.115602,5.6e-05
-0.0,63.5,-0.039569,-0.123662,5.4e-05
6.35,63.5,-0.036236,-0.115602,5.6e-05
6.35,76.2,-0.054927,-0.139282,5.1e-05
0.0,76.2,-0.05783,-0.146744,3.1e-05
6.35,63.5,-0.036236,-0.115602,5.6e-05
12.7,63.5,-0.03275,-0.108103,6.6e-05
12.7,76.2,-0.051463,-0.132758,8e-05
6.35,76.2,-0.054927,-0.139282,5.1e-05
12.7,50.8,-0.017425,-0.084647,5.7e-05
19.05,50.8,-0.013999,-0.077911,5.8e-05
19.05,63.5,-0.029092,-0.100012,7.2e-05
12.7,63.5,-0.03275,-0.108103,6.6e-05
19.05,50.8,-0.013999,-0.077911,5.8e-05
25.4,50.8,-0.010675,-0.070594,5e-05
25.4,63.5,-0.025458,-0.090438,6.5e-05
19.05,63.5,-0.029092,-0.100012,7.2e-05
12.7,63.5,-0.03275,-0.108103,6.6e-05
19.05,63.5,-0.029092,-0.100012,7.2e-05
