X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000012
6.350000,0.000000,0.000000,0.000000,0.000001
6.350000,12.700000,-0.006763,-0.019706,0.000025
0.000000,12.700000,-0.009222,-0.021512,0.000019
6.350000,0.000000,-0.000000,-0.000000,0.000001
12.700000,0.000000,-0.000000,-0.000000,0.000000
12.700000,12.700000,-0.004576,-0.018547,0.000015
6.350000,12.700000,-0.006763,-0.019706,0.000025
0.000000,12.700000,-0.009222,-0.021512,0.000019
6.350000,12.700000,-0.006763,-0.019706,0.000025
6.350000,25.400000,-0.009571,-0.039375,0.000029
0.000000,25.400000,-0.012158,-0.040547,0.000026
6.350000,12.700000,-0.006763,-0.019706,0.000025
12.700000,12.700000,-0.004576,-0.018547,0.000015
12.700000,25.400000,-0.007019,-0.038083,0.000026
6.350000,25.400000,-0.009571,-0.039375,0.000029
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.002868,-0.017851,0.000009
12.700000,12.700000,-0.004576,-0.018547,0.000015
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.001506,-0.017397,0.000006
19.050000,12.700000,-0.002868,-0.017851,0.000009
12.700000,12.700000,-0.004576,-0.018547,0.000015
19.050000,12.700000,-0.002868,-0.017851,0.000009
19.050000,25.400000,-0.004603,-0.036903,0.000022
12.700000,25.400000,-0.007019,-0.038083,0.000026
19.050000,12.700000,-0.002868,-0.017851,0.000009
25.400000,12.700000,-0.001506,-0.017397,0.000006
25.400000,25.400000,-0.002366,-0.035924,0.000019
19.050000,25.400000,-0.004603,-0.036903,0.000022
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000374,-0.017131,0.000004
25.400000,12.700000,-0.001506,-0.017397,0.000006
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000632,-0.017076,0.000004
31.750000,12.700000,-0.000374,-0.017131,0.000004
25.400000,12.700000,-0.001506,-0.017397,0.000006
31.750000,12.700000,-0.000374,-0.017131,0.000004
31.750000,25.400000,-0.000313,-0.035229,0.000015
25.400000,25.400000,-0.002366,-0.035924,0.000019
31.750000,12.700000,-0.000374,-0.017131,0.000004
38.100000,12.700000,0.000632,-0.017076,0.000004
38.100000,25.400000,0.001584,-0.034972,0.000014
31.750000,25.400000,-0.000313,-0.035229,0.000015
38.100000,0.000000,0.000000,0.000000,0.000000
44.450000,0.000000,0.000000,0.000000,0.000000
44.450000,12.700000,0.001620,-0.017271,0.000004
38.100000,12.700000,0.000632,-0.017076,0.000004
44.450000,0.000000,0.000000,-0.000000,0.000000
50.800000,0.000000,0.000000,0.000000,0.000000
50.800000,12.700000,0.002722,-0.017742,0.000006
44.450000,12.700000,0.001620,-0.017271,0.000004
50.800000,0.000000,0.000000,0.000000,0.000000
57.150000,-0.000000,0.000000,0.000000,0.000000
57.150000,12.700000,0.004075,-0.018495,0.000009
50.800000,12.700000,0.002722,-0.017742,0.000006
57.150000,-0.000000,0.000000,-0.000000,0.000000
63.500000,0.000000,0.000000,0.000000,0.000000
63.500000,12.700000,0.005832,-0.019593,0.000017
57.150000,12.700000,0.004075,-0.018495,0.000009
50.800000,12.700000,0.002722,-0.017742,0.000006
57.150000,12.700000,0.004075,-0.018495,0.000009
57.150000,25.400000,0.007700,-0.038121,0.000025
50.800000,25.400000,0.005412,-0.036459,0.000018
57.150000,12.700000,0.004075,-0.018495,0.000009
63.500000,12.700000,0.005832,-0.019593,0.000017
63.500000,25.400000,0.010277,-0.040110,0.000031
57.150000,25.400000,0.007700,-0.038121,0.000025
63.500000,0.000000,0.000000,0.000000,0.000000
69.850000,0.000000,0.000000,0.000000,0.000001
69.850000,12.700000,0.008154,-0.021292,0.000030
63.500000,12.700000,0.005832,-0.019593,0.000017
69.850000,0.000000,0.000000,-0.000000,0.000001
76.200000,0.000000,0.000000,0.000000,-0.000017
76.200000,12.700000,0.010827,-0.023824,0.000024
69.850000,12.700000,0.008154,-0.021292,0.000030
63.500000,12.700000,0.005832,-0.019593,0.000017
69.850000,12.700000,0.008154,-0.021292,0.000030
69.850000,25.400000,0.013020,-0.042331,0.000034
63.500000,25.400000,0.010277,-0.040110,0.000031
