X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000019
6.350000,0.000000,0.000000,0.000000,0.000001
6.350000,12.700000,-0.007559,-0.022261,0.000034
0.000000,12.700000,-0.010351,-0.024372,0.000026
6.350000,0.000000,-0.000000,-0.000000,0.000001
12.700000,0.000000,-0.000000,-0.000000,0.000000
12.700000,12.700000,-0.005075,-0.020855,0.000020
6.350000,12.700000,-0.007559,-0.022261,0.000034
0.000000,12.700000,-0.010351,-0.024372,0.000026
6.350000,12.700000,-0.007559,-0.022261,0.000034
6.350000,25.400000,-0.011039,-0.044509,0.000039
0.000000,25.400000,-0.013976,-0.046065,0.000036
6.350000,12.700000,-0.007559,-0.022261,0.000034
12.700000,12.700000,-0.005075,-0.020855,0.000020
12.700000,25.400000,-0.008136,-0.042853,0.000036
6.350000,25.400000,-0.011039,-0.044509,0.000039
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.003128,-0.019962,0.000012
12.700000,12.700000,-0.005075,-0.020855,0.000020
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.001574,-0.019336,0.000007
19.050000,12.700000,-0.003128,-0.019962,0.000012
12.700000,12.700000,-0.005075,-0.020855,0.000020
19.050000,12.700000,-0.003128,-0.019962,0.000012
19.050000,25.400000,-0.005363,-0.041335,0.000031
12.700000,25.400000,-0.008136,-0.042853,0.000036
19.050000,12.700000,-0.003128,-0.019962,0.000012
25.400000,12.700000,-0.001574,-0.019336,0.000007
25.400000,25.400000,-0.002750,-0.040027,0.000027
19.050000,25.400000,-0.005363,-0.041335,0.000031
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000291,-0.018927,0.000005
25.400000,12.700000,-0.001574,-0.019336,0.000007
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000821,-0.018790,0.000004
31.750000,12.700000,-0.000291,-0.018927,0.000005
25.400000,12.700000,-0.001574,-0.019336,0.000007
31.750000,12.700000,-0.000291,-0.018927,0.000005
31.750000,25.400000,-0.000298,-0.038998,0.000024
25.400000,25.400000,-0.002750,-0.040027,0.000027
31.750000,12.700000,-0.000291,-0.018927,0.000005
38.100000,12.700000,0.000821,-0.018790,0.000004
38.100000,25.400000,0.001982,-0.038434,0.000019
31.750000,25.400000,-0.000298,-0.038998,0.000024
38.100000,0.000000,0.000000,0.000000,0.000000
44.450000,0.000000,0.000000,0.000000,0.000001
44.450000,12.700000,0.001895,-0.019022,0.000004
38.100000,12.700000,0.000821,-0.018790,0.000004
44.450000,0.000000,0.000000,-0.000000,0.000001
50.800000,0.000000,0.000000,0.000000,0.000000
50.800000,12.700000,0.003105,-0.019671,0.000007
44.450000,12.700000,0.001895,-0.019022,0.000004
50.800000,0.000000,0.000000,0.000000,0.000000
57.150000,-0.000000,0.000000,0.000000,0.000000
57.150000,12.700000,0.004636,-0.020711,0.000012
50.800000,12.700000,0.003105,-0.019671,0.000007
57.150000,-0.000000,0.000000,-0.000000,0.000000
63.500000,0.000000,0.000000,0.000000,0.000000
63.500000,12.700000,0.006652,-0.022164,0.000023
57.150000,12.700000,0.004636,-0.020711,0.000012
50.800000,12.700000,0.003105,-0.019671,0.000007
57.150000,12.700000,0.004636,-0.020711,0.000012
57.150000,25.400000,0.009296,-0.042816,0.000040
50.800000,25.400000,0.006491,-0.040431,0.000029
57.150000,12.700000,0.004636,-0.020711,0.000012
63.500000,12.700000,0.006652,-0.022164,0.000023
63.500000,25.400000,0.012392,-0.045458,0.000047
57.150000,25.400000,0.009296,-0.042816,0.000040
63.500000,0.000000,0.000000,0.000000,0.000000
69.850000,0.000000,0.000000,0.000000,0.000001
69.850000,12.700000,0.009318,-0.024299,0.000042
63.500000,12.700000,0.006652,-0.022164,0.000023
69.850000,0.000000,0.000000,-0.000000,0.000001
76.200000,0.000000,0.000000,0.000000,-0.000029
76.200000,12.700000,0.012393,-0.027374,0.000033
69.850000,12.700000,0.009318,-0.024299,0.000042
63.500000,12.700000,0.006652,-0.022164,0.000023
69.850000,12.700000,0.009318,-0.024299,0.000042
69.850000,25.400000,0.015587,-0.048329,0.000048
63.500000,25.400000,0.012392,-0.045458,0.000047
69.850000,12.700000,0.009318,-0.024299,0.000042
76.200000,12.700000,0.012393,-0.027374,0.000033
76.200000,25.400000,0.018781,-0.051388,0.000044
69.850000,25.400000,0.015587,-0.048329,0.000048
0.000000,25.400000,-0.013976,-0.046065,0.000036
6.350000,25.400000,-0.011039,-0.044509,0.000039
6.350000,38.100000,-0.013734,-0.066921,0.000042
0.000000,38.100000,-0.016770,-0.068612,0.000041
6.350000,25.400000,-0.011039,-0.044509,0.000039
12.700000,25.400000,-0.008136,-0.042853,0.000036
12.700000,38.100000,-0.010678,-0.065100,0.000044
6.350000,38.100000,-0.013734,-0.066921,0.000042
0.000000,38.100000,-0.016770,-0.068612,0.000041
6.350000,38.100000,-0.013734,-0.066921,0.000042
6.350000,50.800000,-0.017481,-0.089552,0.000042
0.000000,50.800000,-0.020528,-0.091715,0.000043
6.350000,38.100000,-0.013734,-0.066921,0.000042
12.700000,38.100000,-0.010678,-0.065100,0.000044
12.700000,50.800000,-0.014436,-0.087457,0.000043
6.350000,50.800000,-0.017481,-0.089552,0.000042
12.700000,25.400000,-0.008136,-0.042853,0.000036
19.050000,25.400000,-0.005363,-0.041335,0.000031
19.050000,38.100000,-0.007568,-0.063276,0.000046
12.700000,38.100000,-0.010678,-0.065100,0.000044
19.050000,25.400000,-0.005363,-0.041335,0.000031
25.400000,25.400000,-0.002750,-0.040027,0.000027
25.400000,38.100000,-0.004397,-0.061515,0.000048
19.050000,38.100000,-0.007568,-0.063276,0.000046
12.700000,38.100000,-0.010678,-0.065100,0.000044
19.050000,38.100000,-0.007568,-0.063276,0.000046
19.050000,50.800000,-0.011340,-0.085401,0.000046
12.700000,50.800000,-0.014436,-0.087457,0.000043
19.050000,38.100000,-0.007568,-0.063276,0.000046
25.400000,38.100000,-0.004397,-0.061515,0.000048
25.400000,50.800000,-0.008137,-0.083318,0.000052
19.050000,50.800000,-0.011340,-0.085401,0.000046
25.400000,25.400000,-0.002750,-0.040027,0.000027
31.750000,25.400000,-0.000298,-0.038998,0.000024
