X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000002
6.350000,0.000000,0.000000,0.000000,-0.000000
6.350000,12.700000,-0.003671,-0.010111,0.000006
0.000000,12.700000,-0.004920,-0.011043,0.000005
6.350000,0.000000,0.000000,0.000000,-0.000000
12.700000,0.000000,0.000000,0.000000,0.000000
12.700000,12.700000,-0.002556,-0.009569,0.000004
6.350000,12.700000,-0.003671,-0.010111,0.000006
0.000000,12.700000,-0.004920,-0.011043,0.000005
6.350000,12.700000,-0.003671,-0.010111,0.000006
6.350000,25.400000,-0.005090,-0.020120,0.000006
0.000000,25.400000,-0.006389,-0.020597,0.000006
6.350000,12.700000,-0.003671,-0.010111,0.000006
12.700000,12.700000,-0.002556,-0.009569,0.000004
12.700000,25.400000,-0.003803,-0.019611,0.000006
6.350000,25.400000,-0.005090,-0.020120,0.000006
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.001679,-0.009287,0.000002
12.700000,12.700000,-0.002556,-0.009569,0.000004
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.000967,-0.009129,0.000002
19.050000,12.700000,-0.001679,-0.009287,0.000002
12.700000,12.700000,-0.002556,-0.009569,0.000004
19.050000,12.700000,-0.001679,-0.009287,0.000002
19.050000,25.400000,-0.002588,-0.019175,0.000005
12.700000,25.400000,-0.003803,-0.019611,0.000006
19.050000,12.700000,-0.001679,-0.009287,0.000002
25.400000,12.700000,-0.000967,-0.009129,0.000002
25.400000,25.400000,-0.001470,-0.018844,0.000004
19.050000,25.400000,-0.002588,-0.019175,0.000005
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000356,-0.009052,0.000001
25.400000,12.700000,-0.000967,-0.009129,0.000002
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000205,-0.009048,0.000001
31.750000,12.700000,-0.000356,-0.009052,0.000001
25.400000,12.700000,-0.000967,-0.009129,0.000002
31.750000,12.700000,-0.000356,-0.009052,0.000001
31.750000,25.400000,-0.000441,-0.018643,0.000004
25.400000,25.400000,-0.001470,-0.018844,0.000004
31.750000,12.700000,-0.000356,-0.009052,0.000001
38.100000,12.700000,0.000205,-0.009048,0.000001
38.100000,25.400000,0.000528,-0.018605,0.000003
31.750000,25.400000,-0.000441,-0.018643,0.000004
38.100000,0.000000,0.000000,0.000000,0.000000
44.450000,0.000000,0.000000,0.000000,0.000000
44.450000,12.700000,0.000766,-0.009121,0.000001
38.100000,12.700000,0.000205,-0.009048,0.000001
44.450000,0.000000,0.000000,-0.000000,0.000000
50.800000,0.000000,0.000000,0.000000,0.000000
50.800000,12.700000,0.001378,-0.009276,0.000002
44.450000,12.700000,0.000766,-0.009121,0.000001
50.800000,0.000000,0.000000,0.000000,0.000000
57.150000,-0.000000,0.000000,0.000000,0.000000
57.150000,12.700000,0.002096,-0.009530,0.000002
50.800000,12.700000,0.001378,-0.009276,0.000002
57.150000,-0.000000,0.000000,-0.000000,0.000000
63.500000,0.000000,0.000000,0.000000,0.000000
63.500000,12.700000,0.002996,-0.009934,0.000004
57.150000,12.700000,0.002096,-0.009530,0.000002
50.800000,12.700000,0.001378,-0.009276,0.000002
57.150000,12.700000,0.002096,-0.009530,0.000002
57.150000,25.400000,0.003647,-0.019647,0.000005
50.800000,25.400000,0.002514,-0.019118,0.000006
57.150000,12.700000,0.002096,-0.009530,0.000002
63.500000,12.700000,0.002996,-0.009934,0.000004
63.500000,25.400000,0.004901,-0.020314,0.000006
57.150000,25.400000,0.003647,-0.019647,0.000005
63.500000,0.000000,0.000000,0.000000,0.000000
69.850000,0.000000,0.000000,0.000000,0.000000
69.850000,12.700000,0.004157,-0.010642,0.000007
63.500000,12.700000,0.002996,-0.009934,0.000004
69.850000,0.000000,0.000000,-0.000000,0.000000
