X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000011
6.350000,0.000000,0.000000,0.000000,-0.000000
6.350000,12.700000,-0.006617,-0.019197,0.000024
0.000000,12.700000,-0.009009,-0.020945,0.000018
6.350000,0.000000,-0.000000,-0.000000,-0.000000
12.700000,0.000000,-0.000000,-0.000000,0.000000
12.700000,12.700000,-0.004489,-0.018087,0.000014
6.350000,12.700000,-0.006617,-0.019197,0.000024
0.000000,12.700000,-0.009009,-0.020945,0.000018
6.350000,12.700000,-0.006617,-0.019197,0.000024
6.350000,25.400000,-0.009304,-0.038346,0.000027
0.000000,25.400000,-0.011819,-0.039442,0.000024
6.350000,12.700000,-0.006617,-0.019197,0.000024
12.700000,12.700000,-0.004489,-0.018087,0.000014
12.700000,25.400000,-0.006823,-0.037130,0.000025
6.350000,25.400000,-0.009304,-0.038346,0.000027
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.002828,-0.017432,0.000008
12.700000,12.700000,-0.004489,-0.018087,0.000014
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.001502,-0.017012,0.000005
19.050000,12.700000,-0.002828,-0.017432,0.000008
12.700000,12.700000,-0.004489,-0.018087,0.000014
19.050000,12.700000,-0.002828,-0.017432,0.000008
19.050000,25.400000,-0.004480,-0.036023,0.000021
12.700000,25.400000,-0.006823,-0.037130,0.000025
19.050000,12.700000,-0.002828,-0.017432,0.000008
25.400000,12.700000,-0.001502,-0.017012,0.000005
25.400000,25.400000,-0.002318,-0.035115,0.000017
19.050000,25.400000,-0.004480,-0.036023,0.000021
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000396,-0.016773,0.000004
25.400000,12.700000,-0.001502,-0.017012,0.000005
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000591,-0.016732,0.000003
31.750000,12.700000,-0.000396,-0.016773,0.000004
25.400000,12.700000,-0.001502,-0.017012,0.000005
31.750000,12.700000,-0.000396,-0.016773,0.000004
31.750000,25.400000,-0.000340,-0.034487,0.000014
25.400000,25.400000,-0.002318,-0.035115,0.000017
31.750000,12.700000,-0.000396,-0.016773,0.000004
38.100000,12.700000,0.000591,-0.016732,0.000003
38.100000,25.400000,0.001490,-0.034279,0.000012
31.750000,25.400000,-0.000340,-0.034487,0.000014
38.100000,0.000000,0.000000,0.000000,0.000000
44.450000,0.000000,0.000000,0.000000,0.000001
44.450000,12.700000,0.001565,-0.016919,0.000003
38.100000,12.700000,0.000591,-0.016732,0.000003
44.450000,0.000000,0.000000,-0.000000,0.000001
50.800000,0.000000,0.000000,0.000000,0.000000
50.800000,12.700000,0.002648,-0.017355,0.000006
44.450000,12.700000,0.001565,-0.016919,0.000003
50.800000,0.000000,0.000000,0.000000,0.000000
57.150000,-0.000000,0.000000,0.000000,0.000000
57.150000,12.700000,0.003971,-0.018053,0.000009
50.800000,12.700000,0.002648,-0.017355,0.000006
57.150000,-0.000000,0.000000,-0.000000,0.000000
63.500000,0.000000,0.000000,0.000000,0.000000
63.500000,12.700000,0.005681,-0.019079,0.000016
57.150000,12.700000,0.003971,-0.018053,0.000009
50.800000,12.700000,0.002648,-0.017355,0.000006
57.150000,12.700000,0.003971,-0.018053,0.000009
57.150000,25.400000,0.007405,-0.037199,0.000023
50.800000,25.400000,0.005202,-0.035674,0.000018
57.150000,12.700000,0.003971,-0.018053,0.000009
63.500000,12.700000,0.005681,-0.019079,0.000016
63.500000,25.400000,0.009886,-0.039045,0.000028
57.150000,25.400000,0.007405,-0.037199,0.000023
63.500000,0.000000,0.000000,0.000000,0.000000
69.850000,0.000000,0.000000,0.000000,0.000001
69.850000,12.700000,0.007935,-0.020688,0.000028
63.500000,12.700000,0.005681,-0.019079,0.000016
69.850000,0.000000,0.000000,-0.000000,0.000001
76.200000,0.000000,0.000000,0.000000,-0.000015
76.200000,12.700000,0.010527,-0.023116,0.000022
69.850000,12.700000,0.007935,-0.020688,0.000028
63.500000,12.700000,0.005681,-0.019079,0.000016
69.850000,12.700000,0.007935,-0.020688,0.000028
69.850000,25.400000,0.012537,-0.041120,0.000031
63.500000,25.400000,0.009886,-0.039045,0.000028
69.850000,12.700000,0.007935,-0.020688,0.000028
76.200000,12.700000,0.010527,-0.023116,0.000022
76.200000,25.400000,0.015234,-0.043250,0.000029
69.850000,25.400000,0.012537,-0.041120,0.000031
0.000000,25.400000,-0.011819,-0.039442,0.000024
6.350000,25.400000,-0.009304,-0.038346,0.000027
6.350000,38.100000,-0.010865,-0.057699,0.000030
0.000000,38.100000,-0.013490,-0.058782,0.000029
6.350000,25.400000,-0.009304,-0.038346,0.000027
12.700000,25.400000,-0.006823,-0.037130,0.000025
12.700000,38.100000,-0.008218,-0.056412,0.000031
6.350000,38.100000,-0.010865,-0.057699,0.000030
0.000000,38.100000,-0.013490,-0.058782,0.000029
6.350000,38.100000,-0.010865,-0.057699,0.000030
6.350000,50.800000,-0.013144,-0.077405,0.000030
0.000000,50.800000,-0.015811,-0.078869,0.000031
6.350000,38.100000,-0.010865,-0.057699,0.000030
12.700000,38.100000,-0.008218,-0.056412,0.000031
12.700000,50.800000,-0.010461,-0.075932,0.000032
6.350000,50.800000,-0.013144,-0.077405,0.000030
12.700000,25.400000,-0.006823,-0.037130,0.000025
19.050000,25.400000,-0.004480,-0.036023,0.000021
19.050000,38.100000,-0.005530,-0.055076,0.000032
12.700000,38.100000,-0.008218,-0.056412,0.000031
19.050000,25.400000,-0.004480,-0.036023,0.000021
25.400000,25.400000,-0.002318,-0.035115,0.000017
25.400000,38.100000,-0.002807,-0.053780,0.000033
19.050000,38.100000,-0.005530,-0.055076,0.000032
12.700000,38.100000,-0.008218,-0.056412,0.000031
19.050000,38.100000,-0.005530,-0.055076,0.000032
19.050000,50.800000,-0.007695,-0.074463,0.000035
12.700000,50.800000,-0.010461,-0.075932,0.000032
19.050000,38.100000,-0.005530,-0.055076,0.000032
25.400000,38.100000,-0.002807,-0.053780,0.000033
25.400000,50.800000,-0.004767,-0.072973,0.000042
19.050000,50.800000,-0.007695,-0.074463,0.000035
25.400000,25.400000,-0.002318,-0.035115,0.000017
31.750000,25.400000,-0.000340,-0.034487,0.000014
31.750000,38.100000,-0.000090,-0.052624,0.000031
