X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000006
6.350000,0.000000,0.000000,0.000000,-0.000000
6.350000,12.700000,-0.005605,-0.015921,0.000016
0.000000,12.700000,-0.007580,-0.017361,0.000012
6.350000,0.000000,0.000000,0.000000,-0.000000
12.700000,0.000000,0.000000,0.000000,0.000000
12.700000,12.700000,-0.003845,-0.015044,0.000009
6.350000,12.700000,-0.005605,-0.015921,0.000016
0.000000,12.700000,-0.007580,-0.017361,0.000012
6.350000,12.700000,-0.005605,-0.015921,0.000016
6.350000,25.400000,-0.007773,-0.031752,0.000017
0.000000,25.400000,-0.009841,-0.032557,0.000016
6.350000,12.700000,-0.005605,-0.015921,0.000016
12.700000,12.700000,-0.003845,-0.015044,0.000009
12.700000,25.400000,-0.005731,-0.030858,0.000016
6.350000,25.400000,-0.007773,-0.031752,0.000017
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.002468,-0.014557,0.000006
12.700000,12.700000,-0.003845,-0.015044,0.000009
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.001363,-0.014265,0.000004
19.050000,12.700000,-0.002468,-0.014557,0.000006
12.700000,12.700000,-0.003845,-0.015044,0.000009
19.050000,12.700000,-0.002468,-0.014557,0.000006
19.050000,25.400000,-0.003809,-0.030060,0.000013
12.700000,25.400000,-0.005731,-0.030858,0.000016
19.050000,12.700000,-0.002468,-0.014557,0.000006
25.400000,12.700000,-0.001363,-0.014265,0.000004
25.400000,25.400000,-0.002045,-0.029431,0.000011
19.050000,25.400000,-0.003809,-0.030060,0.000013
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000428,-0.014113,0.000003
25.400000,12.700000,-0.001363,-0.014265,0.000004
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000420,-0.014101,0.000003
31.750000,12.700000,-0.000428,-0.014113,0.000003
25.400000,12.700000,-0.001363,-0.014265,0.000004
31.750000,12.700000,-0.000428,-0.014113,0.000003
31.750000,25.400000,-0.000433,-0.029028,0.000009
25.400000,25.400000,-0.002045,-0.029431,0.000011
31.750000,12.700000,-0.000428,-0.014113,0.000003
38.100000,12.700000,0.000420,-0.014101,0.000003
38.100000,25.400000,0.001071,-0.028936,0.000008
31.750000,25.400000,-0.000433,-0.029028,0.000009
38.100000,0.000000,0.000000,0.000000,0.000000
44.450000,0.000000,0.000000,0.000000,0.000000
44.450000,12.700000,0.001264,-0.014242,0.000003
