X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,0.000000
6.350000,0.000000,0.000000,0.000000,0.000000
6.350000,12.700000,-0.002127,-0.005736,0.000002
0.000000,12.700000,-0.002834,-0.006274,0.000001
6.350000,0.000000,0.000000,0.000000,0.000000
12.700000,0.000000,0.000000,0.000000,0.000000
12.700000,12.700000,-0.001495,-0.005432,0.000001
6.350000,12.700000,-0.002127,-0.005736,0.000002
0.000000,12.700000,-0.002834,-0.006274,0.000001
6.350000,12.700000,-0.002127,-0.005736,0.000002
6.350000,25.400000,-0.002959,-0.011394,0.000002
0.000000,25.400000,-0.003690,-0.011658,0.000002
6.350000,12.700000,-0.002127,-0.005736,0.000002
12.700000,12.700000,-0.001495,-0.005432,0.000001
12.700000,25.400000,-0.002231,-0.011125,0.000002
6.350000,25.400000,-0.002959,-0.011394,0.000002
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.000997,-0.005280,0.000001
12.700000,12.700000,-0.001495,-0.005432,0.000001
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.000589,-0.005200,0.000001
19.050000,12.700000,-0.000997,-0.005280,0.000001
12.700000,12.700000,-0.001495,-0.005432,0.000001
19.050000,12.700000,-0.000997,-0.005280,0.000001
19.050000,25.400000,-0.001544,-0.010902,0.000002
12.700000,25.400000,-0.002231,-0.011125,0.000002
19.050000,12.700000,-0.000997,-0.005280,0.000001
25.400000,12.700000,-0.000589,-0.005200,0.000001
25.400000,25.400000,-0.000908,-0.010739,0.000001
19.050000,25.400000,-0.001544,-0.010902,0.000002
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000236,-0.005162,0.000000
25.400000,12.700000,-0.000589,-0.005200,0.000001
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000092,-0.005161,0.000000
31.750000,12.700000,-0.000236,-0.005162,0.000000
25.400000,12.700000,-0.000589,-0.005200,0.000001
31.750000,12.700000,-0.000236,-0.005162,0.000000
31.750000,25.400000,-0.000320,-0.010643,0.000001
25.400000,25.400000,-0.000908,-0.010739,0.000001
31.750000,12.700000,-0.000236,-0.005162,0.000000
38.100000,12.700000,0.000092,-0.005161,0.000000
38.100000,25.400000,0.000238,-0.010628,0.000001
31.750000,25.400000,-0.000320,-0.010643,0.000001
38.100000,0.000000,0.000000,0.000000,0.000000
44.450000,0.000000,0.000000,0.000000,0.000000
44.450000,12.700000,0.000420,-0.005196,0.000000
