X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000001
6.350000,0.000000,0.000000,0.000000,-0.000000
6.350000,12.700000,-0.002188,-0.005900,0.000002
0.000000,12.700000,-0.002915,-0.006453,0.000002
6.350000,0.000000,0.000000,0.000000,-0.000000
12.700000,0.000000,0.000000,0.000000,0.000000
12.700000,12.700000,-0.001538,-0.005587,0.000001
6.350000,12.700000,-0.002188,-0.005900,0.000002
0.000000,12.700000,-0.002915,-0.006453,0.000002
6.350000,12.700000,-0.002188,-0.005900,0.000002
6.350000,25.400000,-0.003043,-0.011720,0.000002
0.000000,25.400000,-0.003795,-0.011991,0.000002
6.350000,12.700000,-0.002188,-0.005900,0.000002
12.700000,12.700000,-0.001538,-0.005587,0.000001
12.700000,25.400000,-0.002295,-0.011442,0.000002
6.350000,25.400000,-0.003043,-0.011720,0.000002
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.001025,-0.005431,0.000001
12.700000,12.700000,-0.001538,-0.005587,0.000001
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.000606,-0.005348,0.000001
19.050000,12.700000,-0.001025,-0.005431,0.000001
12.700000,12.700000,-0.001538,-0.005587,0.000001
19.050000,12.700000,-0.001025,-0.005431,0.000001
19.050000,25.400000,-0.001588,-0.011213,0.000002
12.700000,25.400000,-0.002295,-0.011442,0.000002
19.050000,12.700000,-0.001025,-0.005431,0.000001
25.400000,12.700000,-0.000606,-0.005348,0.000001
25.400000,25.400000,-0.000934,-0.011045,0.000001
19.050000,25.400000,-0.001588,-0.011213,0.000002
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000242,-0.005310,0.000000
25.400000,12.700000,-0.000606,-0.005348,0.000001
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000095,-0.005308,0.000000
31.750000,12.700000,-0.000242,-0.005310,0.000000
25.400000,12.700000,-0.000606,-0.005348,0.000001
31.750000,12.700000,-0.000242,-0.005310,0.000000
31.750000,25.400000,-0.000329,-0.010947,0.000001
25.400000,25.400000,-0.000934,-0.011045,0.000001
31.750000,12.700000,-0.000242,-0.005310,0.000000
38.100000,12.700000,0.000095,-0.005308,0.000000
38.100000,25.400000,0.000245,-0.010931,0.000001
31.750000,25.400000,-0.000329,-0.010947,0.000001
38.100000,0.000000,0.000000,0.000000,0.000000
44.450000,0.000000,0.000000,0.000000,0.000000
44.450000,12.700000,0.000432,-0.005344,0.000000
38.100000,12.700000,0.000095,-0.005308,0.000000
44.450000,0.000000,0.000000,-0.000000,0.000000
50.800000,0.000000,0.000000,0.000000,0.000000
50.800000,12.700000,0.000797,-0.005420,0.000001
44.450000,12.700000,0.000432,-0.005344,0.000000
50.800000,0.000000,0.000000,0.000000,0.000000
57.150000,-0.000000,0.000000,0.000000,0.000000
57.150000,12.700000,0.001222,-0.005547,0.000001
50.800000,12.700000,0.000797,-0.005420,0.000001
57.150000,-0.000000,0.000000,-0.000000,0.000000
63.500000,0.000000,0.000000,0.000000,0.000000
63.500000,12.700000,0.001746,-0.005758,0.000001
57.150000,12.700000,0.001222,-0.005547,0.000001
50.800000,12.700000,0.000797,-0.005420,0.000001
57.150000,12.700000,0.001222,-0.005547,0.000001
57.150000,25.400000,0.002083,-0.011442,0.000002
50.800000,25.400000,0.001421,-0.011183,0.000003
57.150000,12.700000,0.001222,-0.005547,0.000001
63.500000,12.700000,0.001746,-0.005758,0.000001
63.500000,25.400000,0.002809,-0.011774,0.000002
57.150000,25.400000,0.002083,-0.011442,0.000002
63.500000,0.000000,0.000000,0.000000,0.000000
69.850000,0.000000,0.000000,0.000000,0.000000
69.850000,12.700000,0.002418,-0.006147,0.000002
63.500000,12.700000,0.001746,-0.005758,0.000001
69.850000,0.000000,0.000000,-0.000000,0.000000
76.200000,0.000000,0.000000,0.000000,-0.000001
76.200000,12.700000,0.003177,-0.006810,0.000002
69.850000,12.700000,0.002418,-0.006147,0.000002
63.500000,12.700000,0.001746,-0.005758,0.000001
69.850000,12.700000,0.002418,-0.006147,0.000002
69.850000,25.400000,0.003582,-0.012172,0.000002
63.500000,25.400000,0.002809,-0.011774,0.000002
69.850000,12.700000,0.002418,-0.006147,0.000002
76.200000,12.700000,0.003177,-0.006810,0.000002
76.200000,25.400000,0.004360,-0.012594,0.000002
69.850000,25.400000,0.003582,-0.012172,0.000002
0.000000,25.400000,-0.003795,-0.011991,0.000002
6.350000,25.400000,-0.003043,-0.011720,0.000002
6.350000,38.100000,-0.003307,-0.017548,0.000002
0.000000,38.100000,-0.004086,-0.017696,0.000002
6.350000,25.400000,-0.003043,-0.011720,0.000002
12.700000,25.400000,-0.002295,-0.011442,0.000002
12.700000,38.100000,-0.002521,-0.017329,0.000002
6.350000,38.100000,-0.003307,-0.017548,0.000002
0.000000,38.100000,-0.004086,-0.017696,0.000002
6.350000,38.100000,-0.003307,-0.017548,0.000002
