X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000010
6.350000,0.000000,0.000000,0.000000,-0.000000
6.350000,12.700000,-0.006469,-0.018697,0.000022
0.000000,12.700000,-0.008796,-0.020394,0.000017
6.350000,0.000000,-0.000000,-0.000000,-0.000000
12.700000,0.000000,-0.000000,-0.000000,0.000000
12.700000,12.700000,-0.004398,-0.017629,0.000013
6.350000,12.700000,-0.006469,-0.018697,0.000022
0.000000,12.700000,-0.008796,-0.020394,0.000017
6.350000,12.700000,-0.006469,-0.018697,0.000022
6.350000,25.400000,-0.009058,-0.037338,0.000025
0.000000,25.400000,-0.011504,-0.038374,0.000023
6.350000,12.700000,-0.006469,-0.018697,0.000022
12.700000,12.700000,-0.004398,-0.017629,0.000013
12.700000,25.400000,-0.006646,-0.036183,0.000023
6.350000,25.400000,-0.009058,-0.037338,0.000025
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.002781,-0.017006,0.000008
12.700000,12.700000,-0.004398,-0.017629,0.000013
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.001490,-0.016613,0.000005
19.050000,12.700000,-0.002781,-0.017006,0.000008
12.700000,12.700000,-0.004398,-0.017629,0.000013
19.050000,12.700000,-0.002781,-0.017006,0.000008
19.050000,25.400000,-0.004371,-0.035136,0.000020
12.700000,25.400000,-0.006646,-0.036183,0.000023
19.050000,12.700000,-0.002781,-0.017006,0.000008
25.400000,12.700000,-0.001490,-0.016613,0.000005
25.400000,25.400000,-0.002276,-0.034284,0.000016
19.050000,25.400000,-0.004371,-0.035136,0.000020
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000409,-0.016394,0.000004
25.400000,12.700000,-0.001490,-0.016613,0.000005
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000558,-0.016361,0.000003
31.750000,12.700000,-0.000409,-0.016394,0.000004
25.400000,12.700000,-0.001490,-0.016613,0.000005
31.750000,12.700000,-0.000409,-0.016394,0.000004
31.750000,25.400000,-0.000361,-0.033706,0.000013
25.400000,25.400000,-0.002276,-0.034284,0.000016
31.750000,12.700000,-0.000409,-0.016394,0.000004
38.100000,12.700000,0.000558,-0.016361,0.000003
38.100000,25.400000,0.001411,-0.033530,0.000012
31.750000,25.400000,-0.000361,-0.033706,0.000013
38.100000,0.000000,0.000000,0.000000,0.000000
44.450000,0.000000,0.000000,0.000000,0.000000
44.450000,12.700000,0.001516,-0.016541,0.000004
38.100000,12.700000,0.000558,-0.016361,0.000003
44.450000,0.000000,0.000000,-0.000000,0.000000
50.800000,0.000000,0.000000,0.000000,0.000000
50.800000,12.700000,0.002578,-0.016951,0.000005
44.450000,12.700000,0.001516,-0.016541,0.000004
50.800000,0.000000,0.000000,0.000000,0.000000
57.150000,-0.000000,0.000000,0.000000,0.000000
57.150000,12.700000,0.003870,-0.017606,0.000008
50.800000,12.700000,0.002578,-0.016951,0.000005
57.150000,-0.000000,0.000000,-0.000000,0.000000
63.500000,0.000000,0.000000,0.000000,0.000000
63.500000,12.700000,0.005535,-0.018575,0.000015
57.150000,12.700000,0.003870,-0.017606,0.000008
