X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000016
6.350000,0.000000,0.000000,0.000000,0.000001
6.350000,12.700000,-0.007340,-0.021576,0.000031
0.000000,12.700000,-0.010043,-0.023601,0.000024
6.350000,0.000000,-0.000000,-0.000000,0.000001
12.700000,0.000000,-0.000000,-0.000000,0.000000
12.700000,12.700000,-0.004936,-0.020238,0.000018
6.350000,12.700000,-0.007340,-0.021576,0.000031
0.000000,12.700000,-0.010043,-0.023601,0.000024
6.350000,12.700000,-0.007340,-0.021576,0.000031
6.350000,25.400000,-0.010626,-0.043135,0.000036
0.000000,25.400000,-0.013470,-0.044583,0.000033
6.350000,12.700000,-0.007340,-0.021576,0.000031
12.700000,12.700000,-0.004936,-0.020238,0.000018
12.700000,25.400000,-0.007817,-0.041580,0.000033
6.350000,25.400000,-0.010626,-0.043135,0.000036
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.003054,-0.019401,0.000011
12.700000,12.700000,-0.004936,-0.020238,0.000018
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.001553,-0.018823,0.000007
19.050000,12.700000,-0.003054,-0.019401,0.000011
12.700000,12.700000,-0.004936,-0.020238,0.000018
19.050000,12.700000,-0.003054,-0.019401,0.000011
19.050000,25.400000,-0.005138,-0.040156,0.000029
12.700000,25.400000,-0.007817,-0.041580,0.000033
19.050000,12.700000,-0.003054,-0.019401,0.000011
25.400000,12.700000,-0.001553,-0.018823,0.000007
25.400000,25.400000,-0.002626,-0.038938,0.000025
19.050000,25.400000,-0.005138,-0.040156,0.000029
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000312,-0.018456,0.000005
25.400000,12.700000,-0.001553,-0.018823,0.000007
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000769,-0.018346,0.000004
31.750000,12.700000,-0.000312,-0.018456,0.000005
25.400000,12.700000,-0.001553,-0.018823,0.000007
31.750000,12.700000,-0.000312,-0.018456,0.000005
31.750000,25.400000,-0.000284,-0.038002,0.000021
25.400000,25.400000,-0.002626,-0.038938,0.000025
31.750000,12.700000,-0.000312,-0.018456,0.000005
38.100000,12.700000,0.000769,-0.018346,0.000004
38.100000,25.400000,0.001878,-0.037537,0.000017
31.750000,25.400000,-0.000284,-0.038002,0.000021
38.100000,0.000000,0.000000,0.000000,0.000000
44.450000,0.000000,0.000000,0.000000,0.000000
44.450000,12.700000,0.001822,-0.018569,0.000005
38.100000,12.700000,0.000769,-0.018346,0.000004
44.450000,0.000000,0.000000,-0.000000,0.000000
50.800000,0.000000,0.000000,0.000000,0.000000
50.800000,12.700000,0.003002,-0.019167,0.000007
44.450000,12.700000,0.001822,-0.018569,0.000005
50.800000,0.000000,0.000000,0.000000,0.000000
57.150000,-0.000000,0.000000,0.000000,0.000000
57.150000,12.700000,0.004483,-0.020124,0.000011
50.800000,12.700000,0.003002,-0.019167,0.000007
57.150000,-0.000000,0.000000,-0.000000,0.000000
63.500000,0.000000,0.000000,0.000000,0.000000
63.500000,12.700000,0.006428,-0.021478,0.000021
57.150000,12.700000,0.004483,-0.020124,0.000011
50.800000,12.700000,0.003002,-0.019167,0.000007
57.150000,12.700000,0.004483,-0.020124,0.000011
57.150000,25.400000,0.008845,-0.041560,0.000035
50.800000,25.400000,0.006191,-0.039386,0.000025
57.150000,12.700000,0.004483,-0.020124,0.000011
63.500000,12.700000,0.006428,-0.021478,0.000021
63.500000,25.400000,0.011795,-0.044027,0.000042
57.150000,25.400000,0.008845,-0.041560,0.000035
63.500000,0.000000,0.000000,0.000000,0.000000
69.850000,0.000000,0.000000,0.000000,0.000001
69.850000,12.700000,0.008999,-0.023493,0.000038
63.500000,12.700000,0.006428,-0.021478,0.000021
69.850000,0.000000,0.000000,-0.000000,0.000001
76.200000,0.000000,0.000000,0.000000,-0.000025
76.200000,12.700000,0.011966,-0.026417,0.000030
69.850000,12.700000,0.008999,-0.023493,0.000038
63.500000,12.700000,0.006428,-0.021478,0.000021
69.850000,12.700000,0.008999,-0.023493,0.000038
69.850000,25.400000,0.014870,-0.046724,0.000044
63.500000,25.400000,0.011795,-0.044027,0.000042
69.850000,12.700000,0.008999,-0.023493,0.000038
76.200000,12.700000,0.011966,-0.026417,0.000030
76.200000,25.400000,0.017956,-0.049574,0.000040
69.850000,25.400000,0.014870,-0.046724,0.000044
0.000000,25.400000,-0.013470,-0.044583,0.000033
6.350000,25.400000,-0.010626,-0.043135,0.000036
6.350000,38.100000,-0.013057,-0.064872,0.000039
0.000000,38.100000,-0.016002,-0.066423,0.000038
6.350000,25.400000,-0.010626,-0.043135,0.000036
12.700000,25.400000,-0.007817,-0.041580,0.000033
12.700000,38.100000,-0.010089,-0.063175,0.000040
6.350000,38.100000,-0.013057,-0.064872,0.000039
0.000000,38.100000,-0.016002,-0.066423,0.000038
6.350000,38.100000,-0.013057,-0.064872,0.000039
6.350000,50.800000,-0.016475,-0.086855,0.000039
0.000000,50.800000,-0.019438,-0.088860,0.000040
6.350000,38.100000,-0.013057,-0.064872,0.000039
12.700000,38.100000,-0.010089,-0.063175,0.000040
12.700000,50.800000,-0.013512,-0.084904,0.000040
6.350000,50.800000,-0.016475,-0.086855,0.000039
12.700000,25.400000,-0.007817,-0.041580,0.000033
19.050000,25.400000,-0.005138,-0.040156,0.000029
19.050000,38.100000,-0.007067,-0.061464,0.000043
12.700000,38.100000,-0.010089,-0.063175,0.000040
19.050000,25.400000,-0.005138,-0.040156,0.000029
25.400000,25.400000,-0.002626,-0.038938,0.000025
25.400000,38.100000,-0.003982,-0.059813,0.000045
19.050000,38.100000,-0.007067,-0.061464,0.000043
12.700000,38.100000,-0.010089,-0.063175,0.000040
19.050000,38.100000,-0.007067,-0.061464,0.000043
19.050000,50.800000,-0.010493,-0.082986,0.000043
12.700000,50.800000,-0.013512,-0.084904,0.000040
19.050000,38.100000,-0.007067,-0.061464,0.000043
25.400000,38.100000,-0.003982,-0.059813,0.000045
25.400000,50.800000,-0.007359,-0.081046,0.000049
19.050000,50.800000,-0.010493,-0.082986,0.000043
25.400000,25.400000,-0.002626,-0.038938,0.000025
31.750000,25.400000,-0.000284,-0.038002,0.000021
31.750000,38.100000,-0.000837,-0.058291,0.000048
25.400000,38.100000,-0.003982,-0.059813,0.000045
31.750000,25.400000,-0.000284,-0.038002,0.000021
38.100000,25.400000,0.001878,-0.037537,0.000017
38.100000,38.100000,0.002382,-0.057066,0.000056
31.750000,38.100000,-0.000837,-0.058291,0.000048
25.400000,38.100000,-0.003982,-0.059813,0.000045
31.750000,38.100000,-0.000837,-0.058291,0.000048
31.750000,50.800000,-0.004044,-0.078856,0.000056
25.400000,50.800000,-0.007359,-0.081046,0.000049
31.750000,38.100000,-0.000837,-0.058291,0.000048
38.100000,38.100000,0.002382,-0.057066,0.000056
38.100000,50.800000,-0.000810,-0.076118,0.000044
31.750000,50.800000,-0.004044,-0.078856,0.000056
57.150000,25.400000,0.008845,-0.041560,0.000035
63.500000,25.400000,0.011795,-0.044027,0.000042
63.500000,38.100000,0.017844,-0.067027,0.000062
57.150000,38.100000,0.014194,-0.064140,0.000074
57.150000,38.100000,0.014194,-0.064140,0.000074
63.500000,38.100000,0.017844,-0.067027,0.000062
63.500000,50.800000,0.025693,-0.090513,0.000047
57.150000,50.800000,0.022235,-0.088471,0.000078
63.500000,25.400000,0.011795,-0.044027,0.000042
69.850000,25.400000,0.014870,-0.046724,0.000044
69.850000,38.100000,0.021181,-0.069726,0.000047
63.500000,38.100000,0.017844,-0.067027,0.000062
69.850000,25.400000,0.014870,-0.046724,0.000044
76.200000,25.400000,0.017956,-0.049574,0.000040
76.200000,38.100000,0.024254,-0.072838,0.000041
